YearOfBirth,Name,Sex,Number
1880,Caleb,M,27
1880,Clint,M,27
1880,Dudley,M,27
1880,Granville,M,27
1880,King,M,27
1880,Mary,M,27
1880,Merton,M,27
1880,Antonio,M,26
1880,Bennie,M,26
1880,Carroll,M,26
1880,Freeman,M,26
1880,Josiah,M,26
1880,Milo,M,26
1880,Royal,M,26
1880,Dick,M,25
1880,Earle,M,25
1880,Elza,M,25
1880,Emerson,M,25
1880,Fletcher,M,25
1880,Judge,M,25
1880,Laurence,M,25
1880,Neil,M,25
1880,Roger,M,25
1880,Seth,M,25
1880,Glen,M,24
1880,Hugo,M,24
1880,Jimmie,M,24
1880,Johnnie,M,24
1880,Washington,M,24
1880,Elwood,M,23
1880,Gust,M,23
1880,Harmon,M,23
1880,Jordan,M,23
1880,Simeon,M,23
1880,Wayne,M,23
1880,Wilber,M,23
1880,Clem,M,22
1880,Evan,M,22
1880,Frederic,M,22
1880,Irwin,M,22
1880,Junius,M,22
1880,Lafayette,M,22
1880,Loren,M,22
1880,Madison,M,22
1880,Mason,M,22
1880,Orval,M,22
1880,Abram,M,21
1880,Aubrey,M,21
1880,Elliott,M,21
1880,Hans,M,21
1880,Karl,M,21
1880,Minor,M,21
1880,Wash,M,21
1880,Wilfred,M,21
1880,Allan,M,20
1880,Alphonse,M,20
1880,Dallas,M,20
1880,Dee,M,20
1880,Isiah,M,20
1880,Jason,M,20
1880,Johnny,M,20
1880,Lawson,M,20
1880,Lew,M,20
1880,Micheal,M,20
1880,Orin,M,20
1880,Addison,M,19
1880,Cal,M,19
1880,Erastus,M,19
1880,Francisco,M,19
1880,Hardy,M,19
1880,Lucien,M,19
1880,Randolph,M,19
1880,Stewart,M,19
1880,Vern,M,19
1880,Wilmer,M,19
1880,Zack,M,19
1880,Adrian,M,18
1880,Alvah,M,18
1880,Bertram,M,18
1880,Clay,M,18
1880,Ephraim,M,18
1880,Fritz,M,18
1880,Giles,M,18
1880,Grover,M,18
1880,Harris,M,18
1880,Isom,M,18
1880,Jesus,M,18
1880,Johnie,M,18
1880,Jonathan,M,18
1880,Lucian,M,18
